Time,Open,High,Low,Last,Change,%Chg,Volume
"2023-06-07 21:54",14323.75,14324.5,14322.75,14324,0,0.00%,79
"2023-06-07 21:55",14323.5,14325.5,14323.5,14325.5,1.5,+0.01%,88
"2023-06-07 21:56",14325.75,14325.75,14324.5,14324.75,-0.75,-0.01%,22
"2023-06-07 21:57",14325,14325.5,14322.75,14322.75,-2.,-0.01%,108
"2023-06-07 21:58",14322.75,14323,14321.75,14322.25,-0.5,0.00%,66
"2023-06-07 21:59",14322.5,14322.75,14321.75,14321.75,-0.5,0.00%,86
"2023-06-07 22:00",14321.75,14323.75,14320.5,14323.5,1.75,+0.01%,209
"2023-06-07 22:01",14323.25,14323.25,14321.25,14321.25,-2.25,-0.02%,71
"2023-06-07 22:02",14321.75,14322.25,14321.5,14322,0.75,+0.01%,71
"2023-06-07 22:03",14322.25,14323.5,14322.25,14323,1,+0.01%,50
"2023-06-07 22:04",14322.75,14323.75,14322.5,14322.5,-0.5,0.00%,36
"2023-06-07 22:05",14322.5,14326,14322.5,14325,2.5,+0.02%,185
"2023-06-07 22:06",14324.75,14325.25,14324,14324.25,-0.75,-0.01%,53
"2023-06-07 22:07",14324.25,14324.25,14322.75,14322.75,-1.5,-0.01%,42
"2023-06-07 22:08",14322.5,14324,14322.25,14323.75,1,+0.01%,46
"2023-06-07 22:09",14324,14324.75,14323.75,14324.25,0.5,0.00%,38
"2023-06-07 22:10",14324,14324.75,14323,14324.5,0.25,0.00%,73
"2023-06-07 22:11",14324.5,14324.5,14322.5,14322.75,-1.75,-0.01%,41
"2023-06-07 22:12",14322.5,14323.5,14322.25,14323.5,0.75,+0.01%,24
"2023-06-07 22:13",14323.25,14324.25,14323.25,14324.25,0.75,+0.01%,16
"2023-06-07 22:14",14324.75,14325.5,14324.25,14324.25,0,0.00%,86
"2023-06-07 22:15",14324,14324.75,14322.75,14322.75,-1.5,-0.01%,42
"2023-06-07 22:16",14323,14324,14322,14323.75,1,+0.01%,54
"2023-06-07 22:17",14323.75,14324.75,14323.5,14324.25,0.5,0.00%,64
"2023-06-07 22:18",14324,14324.25,14323,14324,-0.25,0.00%,86
"2023-06-07 22:19",14323.75,14324,14322.5,14323.75,-0.25,0.00%,69
"2023-06-07 22:20",14323.5,14325,14323.25,14324.75,1,+0.01%,94
"2023-06-07 22:21",14325,14326,14324,14324.25,-0.5,0.00%,79
"2023-06-07 22:22",14325,14325,14324.25,14324.75,0.5,0.00%,26
"2023-06-07 22:23",14325,14325,14322.25,14322.25,-2.5,-0.02%,77
"2023-06-07 22:24",14322.75,14322.75,14318,14321,-1.25,-0.01%,389
"2023-06-07 22:25",14320.75,14322,14320.5,14322,1,+0.01%,61
"2023-06-07 22:26",14322,14322.5,14321,14321.75,-0.25,0.00%,105
"2023-06-07 22:27",14322,14322.25,14321.5,14322,0.25,0.00%,26
"2023-06-07 22:28",14322,14322,14319.5,14319.5,-2.5,-0.02%,47
"2023-06-07 22:29",14319.75,14321.5,14319.75,14321,1.5,+0.01%,80
"2023-06-07 22:30",14321,14321.25,14317.5,14318,-3.,-0.02%,224
"2023-06-07 22:31",14318,14318.25,14312.25,14312.5,-5.5,-0.04%,630
"2023-06-07 22:32",14312.75,14313.75,14310.75,14311,-1.5,-0.01%,396
"2023-06-07 22:33",14311,14313.25,14310,14312.5,1.5,+0.01%,320
"2023-06-07 22:34",14312.25,14313.25,14311.25,14313.25,0.75,+0.01%,144
"2023-06-07 22:35",14312.75,14313.5,14311.25,14312.5,-0.75,-0.01%,148
"2023-06-07 22:36",14312.25,14315,14312,14312.75,0.25,0.00%,262
"2023-06-07 22:37",14312.5,14315,14312.5,14314.5,1.75,+0.01%,165
"2023-06-07 22:38",14315,14315,14312.75,14313.5,-1.,-0.01%,104
"2023-06-07 22:39",14313.75,14314.5,14312.5,14313,-0.5,0.00%,129
"2023-06-07 22:40",14312.75,14313,14308.5,14311,-2.,-0.01%,377
"2023-06-07 22:41",14311,14313.25,14311,14312.5,1.5,+0.01%,178
"2023-06-07 22:42",14312.25,14312.25,14309.75,14311,-1.5,-0.01%,167
"2023-06-07 22:43",14311.75,14312.5,14309.5,14310.75,-0.25,0.00%,211
"2023-06-07 22:44",14311.25,14313,14310.5,14312.75,2,+0.01%,151
"2023-06-07 22:45",14312.75,14313.75,14312,14312.75,0,0.00%,177
"2023-06-07 22:46",14312.5,14313.25,14311.5,14312,-0.75,-0.01%,69
"2023-06-07 22:47",14312.25,14313.25,14311.75,14313,1,+0.01%,123
"2023-06-07 22:48",14313.25,14314.5,14313.25,14313.5,0.5,0.00%,142
"2023-06-07 22:49",14313.5,14314.75,14313.25,14314.25,0.75,+0.01%,180
"2023-06-07 22:50",14314.25,14315.75,14314.25,14315.25,1,+0.01%,75
"2023-06-07 22:51",14315.25,14315.75,14310,14311.25,-4.,-0.03%,265
"2023-06-07 22:52",14311.25,14313.5,14310.75,14312.5,1.25,+0.01%,110
"2023-06-07 22:53",14312,14312.25,14308.25,14309.5,-3.,-0.02%,334
"2023-06-07 22:54",14309.5,14313,14309,14311.75,2.25,+0.02%,209
"2023-06-07 22:55",14311.5,14312,14309.75,14310,-1.75,-0.01%,108
"2023-06-07 22:56",14310.5,14312,14310.5,14311.5,1.5,+0.01%,98
"2023-06-07 22:57",14311.5,14311.5,14308.75,14308.75,-2.75,-0.02%,100
"2023-06-07 22:58",14308.75,14309.5,14300,14308.75,0,0.00%,1220
"2023-06-07 22:59",14308.5,14309.25,14306,14306.75,-2.,-0.01%,270
"2023-06-07 23:00",14306.75,14308.25,14306.25,14306.5,-0.25,0.00%,186
"2023-06-07 23:01",14306.25,14307.75,14306.25,14307.75,1.25,+0.01%,104
"2023-06-07 23:02",14307.75,14307.75,14303.5,14303.75,-4.,-0.03%,416
"2023-06-07 23:03",14303.5,14305,14301.75,14303,-0.75,-0.01%,404
"2023-06-07 23:04",14302.5,14302.75,14290.75,14295.5,-7.5,-0.05%,1627
"2023-06-07 23:05",14295.75,14296.5,14293,14293.5,-2.,-0.01%,492
"2023-06-07 23:06",14293.5,14294.5,14288,14289.5,-4.,-0.03%,770
"2023-06-07 23:07",14289.25,14294,14282,14285.25,-4.25,-0.03%,1001
"2023-06-07 23:08",14285.5,14286.25,14280,14283,-2.25,-0.02%,1100
"2023-06-07 23:09",14283.25,14283.25,14277.75,14280,-3.,-0.02%,503
"2023-06-07 23:10",14279.75,14283.25,14278.5,14283,3,+0.02%,430
"2023-06-07 23:11",14283.25,14286,14283,14285,2,+0.01%,317
"2023-06-07 23:12",14285.25,14286.75,14283.5,14285.5,0.5,0.00%,238
"2023-06-07 23:13",14285.5,14286.25,14284.25,14285,-0.5,0.00%,136
"2023-06-07 23:14",14285.5,14288.25,14285,14287.75,2.75,+0.02%,161
"2023-06-07 23:15",14287.75,14288.75,14286,14287.25,-0.5,0.00%,178
"2023-06-07 23:16",14287.75,14288.5,14286.5,14286.75,-0.5,0.00%,130
"2023-06-07 23:17",14287.25,14288.25,14286.75,14288.25,1.5,+0.01%,70
"2023-06-07 23:18",14288,14293,14288,14292.75,4.5,+0.03%,388
"2023-06-07 23:19",14292.5,14294,14291.5,14292,-0.75,-0.01%,230
"2023-06-07 23:20",14292.5,14295.5,14292.5,14295,3,+0.02%,208
"2023-06-07 23:21",14294.75,14295.5,14291.5,14291.75,-3.25,-0.02%,191
"2023-06-07 23:22",14292.25,14295,14291.75,14294,2.25,+0.02%,169
"2023-06-07 23:23",14294,14294.5,14291.75,14291.75,-2.25,-0.02%,91
"2023-06-07 23:24",14291.75,14295.75,14291.5,14294.75,3,+0.02%,206
"2023-06-07 23:25",14294.5,14294.75,14291.75,14292,-2.75,-0.02%,97
"2023-06-07 23:26",14292,14293.5,14291.75,14292.75,0.75,+0.01%,89
"2023-06-07 23:27",14292.5,14293,14291.25,14291.75,-1.,-0.01%,103
"2023-06-07 23:28",14291.75,14292,14289.25,14290,-1.75,-0.01%,161
